"Channel","Programmes","Source","Tried"
"SKY DOCUMENTARIES HD","38","virgintvgo.virginmedia.com (Sky Documentaries HD)","virgintvgo.virginmedia.com=38, player.ee.co.uk=36, tvireland.ie=34, entertainment.ie=0"
"SKY HISTORY","64","sky.com (Sky History)","sky.com=64, virgintvgo.virginmedia.com=64, player.ee.co.uk=64, tvireland.ie=63"
"SKY MAX","61","virgintvgo.virginmedia.com (Sky Max HD)","virgintvgo.virginmedia.com=61, tvireland.ie=55, entertainment.ie=0"
"SKY MIX","70","sky.com (Sky Mix HD)","sky.com=70, freeview.co.uk=69, virgintvgo.virginmedia.com=71, player.ee.co.uk=70"
"SKY NATURE HD","51","sky.com (Sky Nature HD)","sky.com=51, virgintvgo.virginmedia.com=51, player.ee.co.uk=51, tvireland.ie=51"
"SKY NEWS","80","sky.com (Sky News HD)","sky.com=80, freeview.co.uk=80, virgintvgo.virginmedia.com=80, player.ee.co.uk=80"
"SKY NEWS HD","80","sky.com (Sky News HD)","sky.com=80, freeview.co.uk=80, virgintvgo.virginmedia.com=80, player.ee.co.uk=80"
"SKY SCI-FI HD","52","sky.com (Sky Sci-Fi HD)","sky.com=52, virgintvgo.virginmedia.com=52, player.ee.co.uk=52, tvireland.ie=52"
"SKY SPORTS ACTION","54","sky.com (SkySp Action)","entertainment.ie=0, sky.com=54, virgintvgo.virginmedia.com=57, player.ee.co.uk=55"
"SKY SPORTS+","33","sky.com (SkySp+ HD)","sky.com=33, virgintvgo.virginmedia.com=36, player.ee.co.uk=36"
"SKY SPORTS CRICKET","51","virgintvgo.virginmedia.com (Sky Sports Cricket HD)","virgintvgo.virginmedia.com=51, player.ee.co.uk=50, tvireland.ie=47, entertainment.ie=0"
"SKY SPORTS F1","50","player.ee.co.uk (Sky Sports F1 HD)","player.ee.co.uk=50, tvireland.ie=48, sky.com=48, virgintvgo.virginmedia.com=54"
"SKY SPORTS FOOTBALL","85","player.ee.co.uk (Sky Sports Football HD)","virgintvgo.virginmedia.com=0, player.ee.co.uk=85, tvireland.ie=82, entertainment.ie=0"
"SKY SPORTS GOLF","38","virgintvgo.virginmedia.com (Sky Sports Golf HD)","virgintvgo.virginmedia.com=38, player.ee.co.uk=35, tvireland.ie=33, entertainment.ie=0"
"SKY SPORTS MAIN EVENT","33","player.ee.co.uk (Sky Sports Main Event HD)","virgintvgo.virginmedia.com=0, player.ee.co.uk=33, tvireland.ie=31, entertainment.ie=0"
"SKY SPORTS MIX","53","virgintvgo.virginmedia.com (Sky Sports Mix HD)","virgintvgo.virginmedia.com=53, player.ee.co.uk=52, tvireland.ie=51, entertainment.ie=0"
"SKY SPORTS NEWS","46","virgintvgo.virginmedia.com (Sky Sports News HD)","virgintvgo.virginmedia.com=46, player.ee.co.uk=46, tvireland.ie=45, entertainment.ie=0"
"SKY SPORTS NFL","57","virgintvgo.virginmedia.com (Sky Sports NFL HD)","virgintvgo.virginmedia.com=57, player.ee.co.uk=55, tvireland.ie=54, sky.com=54"
"SKY SPORTS PREMIER LEAGUE","65","player.ee.co.uk (Sky Sports Premier League HD)","player.ee.co.uk=65, tvireland.ie=0, sky.com=64, virgintvgo.virginmedia.com=67"
"SKY SPORTS RACING","22","virgintvgo.virginmedia.com (Sky Sports Racing HD)","virgintvgo.virginmedia.com=22, player.ee.co.uk=21, tvireland.ie=16, entertainment.ie=0"
"SKY SPORTS TENNIS","49","virgintvgo.virginmedia.com (Sky Sports Tennis HD)","virgintvgo.virginmedia.com=49, player.ee.co.uk=50, sky.com=48"
"SKY WITNESS","65","sky.com (Sky Witness HD)","sky.com=65, virgintvgo.virginmedia.com=67, player.ee.co.uk=66, tvireland.ie=65"
"SKYCOMEDY","82","player.ee.co.uk (Sky Comedy HD)","sky.com=30, virgintvgo.virginmedia.com=37, player.ee.co.uk=82, tvireland.ie=79"
"SKYCOMEDY HD","82","player.ee.co.uk (Sky Comedy HD)","sky.com=30, virgintvgo.virginmedia.com=37, player.ee.co.uk=82, tvireland.ie=79"
"SONY MAX","29","virgintvgo.virginmedia.com (SONY MAX HD)","sky.com=22, virgintvgo.virginmedia.com=29, player.ee.co.uk=25, tvireland.ie=21"
"SONY SAB","85","sky.com (SONY SAB)","sky.com=85, virgintvgo.virginmedia.com=90, tvireland.ie=84"
"STV SCOTLAND","43","sky.com (STV HD)","sky.com=43, freeview.co.uk=42"
